tiempo_s,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.188,6343,15623,8767,22548,17904,442,-1674,-15761
0.1885,14109,23624,6444,23861,26299,-619,5269,-12144
0.189,15424,21148,5250,22570,29129,7882,2044,8023
0.1895,13358,17978,8818,19209,26402,15909,-5930,18517
0.19,8421,14683,7158,13972,20423,16838,-5767,25106
0.1905,5950,14546,3345,8040,20248,9708,3584,30742
0.191,7097,14172,3956,3678,19910,8803,9593,16835
0.1915,5209,13380,5383,3191,13027,11359,3461,28119
0.192,6066,10759,1970,4832,12938,10212,-5582,37830
0.1925,8164,11837,-8069,2368,15618,5527,-1936,45739
0.193,5583,11504,-13496,1568,15434,3072,2598,67214
0.19350000000000001,7243,16231,1003,9425,20698,9776,6578,44896
0.19400000000000001,8116,12402,10202,11420,21023,11286,17458,54204
0.19450000000000001,10431,13340,17053,14607,21841,9441,10534,42748
0.19500000000000001,16155,16661,20497,13851,21148,8613,5103,26327
0.19550000000000001,15794,17785,21119,12975,23444,11143,7060,7908
0.19600000000000001,14902,17004,1003,7241,18871,1867,13971,10322
0.19650000000000001,15919,15771,-28745,-4907,18212,-26686,7258,31225
0.19700000000000001,10329,12974,-48097,-16727,18216,-40451,-1552,38666
0.19750000000000001,-18135,379,-35587,-16076,16464,-14844,-4130,27969
0.19800000000000001,-39602,-6152,-9765,-6135,15949,16447,3791,15131
0.19850000000000001,-29465,-131,14933,5900,17356,19804,-3321,-7718
0.19900000000000001,6988,8466,41496,16936,22078,11787,-9832,666
0.19950000000000001,29040,19093,54013,30086,19380,18805,-11633,4211
0.20000000000000001,34253,22639,52608,39391,18234,31079,-4926,1083
0.20050000000000001,26611,18744,42977,30656,17951,25178,-2298,-12555
